214  DEBUG [2013-03-11 00:48:06]  Searching directory [/Users/chenxiaojian/code/xiaojian-miyou/src/main/webapp/WEB-INF/classes/com/miyou/service] for files matching pattern [/Users/chenxiaojian/code/xiaojian-miyou/src/main/webapp/WEB-INF/classes/com/miyou/**/*.class]
215  DEBUG [2013-03-11 00:48:06]  Searching directory [/Users/chenxiaojian/code/xiaojian-miyou/src/main/webapp/WEB-INF/classes/com/miyou/service/impl] for files matching pattern [/Users/chenxiaojian/code/xiaojian-miyou/src/main/webapp/WEB-INF/classes/com/miyou/**/*.class]
217  DEBUG [2013-03-11 00:48:06]  Resolved location pattern [classpath*:com/miyou/**/*.class] to resources [file [/Users/chenxiaojian/code/xiaojian-miyou/src/main/webapp/WEB-INF/classes/com/miyou/controller/RecentMiyouController.class], file [/Users/chenxiaojian/code/xiaojian-miyou/src/main/webapp/WEB-INF/classes/com/miyou/service/impl/RecentMiyouServiceImp$1.class], file [/Users/chenxiaojian/code/xiaojian-miyou/src/main/webapp/WEB-INF/classes/com/miyou/service/impl/RecentMiyouServiceImp$2.class], file [/Users/chenxiaojian/code/xiaojian-miyou/src/main/webapp/WEB-INF/classes/com/miyou/service/impl/RecentMiyouServiceImp.class], file [/Users/chenxiaojian/code/xiaojian-miyou/src/main/webapp/WEB-INF/classes/com/miyou/service/RecentMiyouService.class]]
246  DEBUG [2013-03-11 00:48:06]  Identified candidate component class: file [/Users/chenxiaojian/code/xiaojian-miyou/src/main/webapp/WEB-INF/classes/com/miyou/controller/RecentMiyouController.class]
248  DEBUG [2013-03-11 00:48:06]  Identified candidate component class: file [/Users/chenxiaojian/code/xiaojian-miyou/src/main/webapp/WEB-INF/classes/com/miyou/service/impl/RecentMiyouServiceImp.class]
281  DEBUG [2013-03-11 00:48:06]  Neither XML 'id' nor 'name' specified - using generated bean name [org.springframework.web.servlet.view.InternalResourceViewResolver#0]
282  DEBUG [2013-03-11 00:48:06]  Neither XML 'id' nor 'name' specified - using generated bean name [org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter#0]
282  DEBUG [2013-03-11 00:48:06]  Loaded 12 bean definitions from location pattern [/WEB-INF/miyou-servlet.xml]
282  DEBUG [2013-03-11 00:48:06]  Bean factory for WebApplicationContext for namespace 'miyou-servlet': org.springframework.beans.factory.support.DefaultListableBeanFactory@4fe2fe5d: defining beans [recentMiyouController,RecentMiyouService,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter#0]; root of factory hierarchy
296  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
296  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
300  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references
301  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
331  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
332  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
332  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' to allow for resolving potential circular references
332  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
333  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
333  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
333  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor' to allow for resolving potential circular references
333  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
333  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
333  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
337  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor' to allow for resolving potential circular references
337  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
339  DEBUG [2013-03-11 00:48:06]  Unable to locate MessageSource with name 'messageSource': using default [org.springframework.context.support.DelegatingMessageSource@764b3f8b]
340  DEBUG [2013-03-11 00:48:06]  Unable to locate ApplicationEventMulticaster with name 'applicationEventMulticaster': using default [org.springframework.context.event.SimpleApplicationEventMulticaster@10db5b3f]
342  DEBUG [2013-03-11 00:48:06]  Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@23dd246]
342  INFO  [2013-03-11 00:48:06]  Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@4fe2fe5d: defining beans [recentMiyouController,RecentMiyouService,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter#0]; root of factory hierarchy
343  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'recentMiyouController'
343  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'recentMiyouController'
349  DEBUG [2013-03-11 00:48:06]  Found injected element on class [com.miyou.controller.RecentMiyouController]: AutowiredFieldElement for com.miyou.service.RecentMiyouService com.miyou.controller.RecentMiyouController.recentMiyouService
350  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'recentMiyouController' to allow for resolving potential circular references
356  DEBUG [2013-03-11 00:48:06]  Processing injected method of bean 'recentMiyouController': AutowiredFieldElement for com.miyou.service.RecentMiyouService com.miyou.controller.RecentMiyouController.recentMiyouService
359  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'RecentMiyouService'
359  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'RecentMiyouService'
361  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'RecentMiyouService' to allow for resolving potential circular references
364  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'RecentMiyouService'
364  DEBUG [2013-03-11 00:48:06]  Autowiring by type from bean name 'recentMiyouController' to bean named 'RecentMiyouService'
364  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'recentMiyouController'
364  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'RecentMiyouService'
364  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
364  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
365  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
365  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
365  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping#0'
365  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping#0'
367  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping#0' to allow for resolving potential circular references
380  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'org.springframework.web.servlet.handler.MappedInterceptor#0'
380  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.web.servlet.handler.MappedInterceptor#0'
383  DEBUG [2013-03-11 00:48:06]  Creating instance of bean '(inner bean)'
389  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
389  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
390  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0' to allow for resolving potential circular references
392  DEBUG [2013-03-11 00:48:06]  Invoking afterPropertiesSet() on bean with name 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
407  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
412  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean '(inner bean)'
418  DEBUG [2013-03-11 00:48:06]  No property editor [org.springframework.web.context.request.WebRequestInterceptorEditor] found for type org.springframework.web.context.request.WebRequestInterceptor according to 'Editor' suffix convention
419  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'org.springframework.web.servlet.handler.MappedInterceptor#0' to allow for resolving potential circular references
421  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.web.servlet.handler.MappedInterceptor#0'
421  DEBUG [2013-03-11 00:48:06]  Looking for URL mappings in application context: WebApplicationContext for namespace 'miyou-servlet': startup date [Mon Mar 11 00:48:06 CST 2013]; root of context hierarchy
424  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'recentMiyouController'
424  INFO  [2013-03-11 00:48:06]  Mapped URL path [/miyou/user/{uid}] onto handler 'recentMiyouController'
424  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'recentMiyouController'
424  INFO  [2013-03-11 00:48:06]  Mapped URL path [/miyou/user/{uid}.*] onto handler 'recentMiyouController'
424  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'recentMiyouController'
424  INFO  [2013-03-11 00:48:06]  Mapped URL path [/miyou/user/{uid}/] onto handler 'recentMiyouController'
425  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'RecentMiyouService': no URL paths identified
425  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor': no URL paths identified
425  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor': no URL paths identified
426  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'org.springframework.context.annotation.internalRequiredAnnotationProcessor': no URL paths identified
426  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'org.springframework.context.annotation.internalCommonAnnotationProcessor': no URL paths identified
426  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping#0': no URL paths identified
426  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0': no URL paths identified
426  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0': no URL paths identified
426  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'org.springframework.web.servlet.handler.MappedInterceptor#0': no URL paths identified
426  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'org.springframework.web.servlet.view.InternalResourceViewResolver#0': no URL paths identified
427  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter#0': no URL paths identified
427  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'systemProperties': no URL paths identified
427  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'systemEnvironment': no URL paths identified
427  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'servletContext': no URL paths identified
